state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
IA,smoothed_cli,2020-04-08,2020-09-03,148,1.1060591,0.0948188,8901.949,state,fb-survey
ID,smoothed_cli,2020-04-08,2020-09-03,148,1.2109158,0.1356532,4775.1615,state,fb-survey
IL,smoothed_cli,2020-04-08,2020-09-03,148,0.8731022,0.0612446,17170.1121,state,fb-survey
IN,smoothed_cli,2020-04-08,2020-09-03,148,1.04968,0.0634486,18888.0171,state,fb-survey
KS,smoothed_cli,2020-04-08,2020-09-03,148,0.8021602,0.0832353,8316.7474,state,fb-survey
KY,smoothed_cli,2020-04-08,2020-09-03,148,0.778807,0.0629997,13217.2483,state,fb-survey
LA,smoothed_cli,2020-04-08,2020-09-03,148,0.9594229,0.0794323,10970.1783,state,fb-survey
MA,smoothed_cli,2020-04-08,2020-09-03,148,0.6944647,0.0551254,16575.043,state,fb-survey
MD,smoothed_cli,2020-04-08,2020-09-03,148,0.6223133,0.0551829,14325.9535,state,fb-survey
ME,smoothed_cli,2020-04-08,2020-09-03,148,0.8752746,0.122372,4150.2234,state,fb-survey
MI,smoothed_cli,2020-04-08,2020-09-03,148,0.9055392,0.0552014,21667.0515,state,fb-survey
MN,smoothed_cli,2020-04-08,2020-09-03,148,0.7560425,0.0629979,14102.6872,state,fb-survey
MO,smoothed_cli,2020-04-08,2020-09-03,148,0.7605021,0.057458,16823.9431,state,fb-survey
MS,smoothed_cli,2020-04-08,2020-09-03,148,0.8134915,0.0884705,7185.7165,state,fb-survey
MT,smoothed_cli,2020-04-08,2020-09-03,148,1.0337412,0.1634906,3165.0642,state,fb-survey
NC,smoothed_cli,2020-04-08,2020-09-03,148,0.7427067,0.0582614,16457.0127,state,fb-survey
ND,smoothed_cli,2020-04-08,2020-09-03,148,0.7421903,0.1633842,2011.7623,state,fb-survey
NE,smoothed_cli,2020-04-08,2020-09-03,148,0.9904942,0.1228968,4918.5227,state,fb-survey
NH,smoothed_cli,2020-04-08,2020-09-03,148,0.7140906,0.110105,4103.7766,state,fb-survey
NJ,smoothed_cli,2020-04-08,2020-09-03,148,1.1820714,0.0700028,17344.9894,state,fb-survey
NM,smoothed_cli,2020-04-08,2020-09-03,148,0.6072747,0.0910593,5112.1932,state,fb-survey
NV,smoothed_cli,2020-04-08,2020-09-03,148,0.9444006,0.0945264,7916.1738,state,fb-survey
NY,smoothed_cli,2020-04-08,2020-09-03,148,1.6025178,0.0889241,14807.0011,state,fb-survey
OH,smoothed_cli,2020-04-08,2020-09-03,148,0.8206412,0.0550308,19818.0017,state,fb-survey
OK,smoothed_cli,2020-04-08,2020-09-03,148,0.9708293,0.0797219,10904.0956,state,fb-survey
OR,smoothed_cli,2020-04-08,2020-09-03,148,1.0086708,0.0786257,11888.2834,state,fb-survey
PA,smoothed_cli,2020-04-08,2020-09-03,148,0.7010586,0.0491914,21436.0154,state,fb-survey
RI,smoothed_cli,2020-04-08,2020-09-03,148,0.6852223,0.132866,2826.957,state,fb-survey
SC,smoothed_cli,2020-04-08,2020-09-03,148,0.7825997,0.0652833,13564.0116,state,fb-survey
SD,smoothed_cli,2020-04-08,2020-09-03,148,1.1450286,0.1883953,2279.1298,state,fb-survey
TN,smoothed_cli,2020-04-08,2020-09-03,148,0.836845,0.0607682,16999.6961,state,fb-survey
TX,smoothed_cli,2020-04-08,2020-09-03,148,0.7517442,0.0573609,16204.234,state,fb-survey
UT,smoothed_cli,2020-04-08,2020-09-03,148,0.8610969,0.0862982,7981.9784,state,fb-survey
VA,smoothed_cli,2020-04-08,2020-09-03,148,0.7280777,0.0535257,18399.856,state,fb-survey
VT,smoothed_cli,2020-04-08,2020-09-03,148,0.4778935,0.1389681,1817.002,state,fb-survey
WA,smoothed_cli,2020-04-08,2020-09-03,148,0.7522993,0.0529366,19412.7657,state,fb-survey
WI,smoothed_cli,2020-04-08,2020-09-03,148,0.7949697,0.0607125,16127.9597,state,fb-survey
WV,smoothed_cli,2020-04-08,2020-09-03,148,0.7010243,0.0916121,6061.783,state,fb-survey
WY,smoothed_cli,2020-04-08,2020-09-03,148,1.0447718,0.2104559,1659.6197,state,fb-survey
AK,smoothed_cli,2020-04-09,2020-09-03,147,0.8990279,0.1655012,2508,state,fb-survey
AL,smoothed_cli,2020-04-09,2020-09-03,147,0.7984145,0.0599988,16445.3163,state,fb-survey
AR,smoothed_cli,2020-04-09,2020-09-03,147,0.9091949,0.0819459,10223.6735,state,fb-survey
AZ,smoothed_cli,2020-04-09,2020-09-03,147,0.9296774,0.0559083,21857.2817,state,fb-survey
CA,smoothed_cli,2020-04-09,2020-09-03,147,0.7255871,0.0516236,20550.2111,state,fb-survey
CO,smoothed_cli,2020-04-09,2020-09-03,147,1.2709141,0.0653809,22029.3639,state,fb-survey
CT,smoothed_cli,2020-04-09,2020-09-03,147,0.8856522,0.0735224,11858,state,fb-survey
DC,smoothed_cli,2020-04-09,2020-09-03,147,0.4805123,0.1280642,2121,state,fb-survey
DE,smoothed_cli,2020-04-09,2020-09-03,147,0.6429304,0.1175615,3505.0438,state,fb-survey
FL,smoothed_cli,2020-04-09,2020-09-03,147,0.6345073,0.0436434,24404.0016,state,fb-survey
GA,smoothed_cli,2020-04-09,2020-09-03,147,0.6860188,0.0478668,20824.8604,state,fb-survey
HI,smoothed_cli,2020-04-09,2020-09-03,147,0.6549057,0.1197396,3513,state,fb-survey
IA,smoothed_cli,2020-04-09,2020-09-03,147,1.0914829,0.0824016,11854.2077,state,fb-survey
ID,smoothed_cli,2020-04-09,2020-09-03,147,1.1838921,0.1164822,6427.9334,state,fb-survey
IL,smoothed_cli,2020-04-09,2020-09-03,147,0.8152248,0.0511384,22785.1358,state,fb-survey
IN,smoothed_cli,2020-04-09,2020-09-03,147,1.0274351,0.0545705,25146.0191,state,fb-survey
KS,smoothed_cli,2020-04-09,2020-09-03,147,0.8088552,0.0728403,11108.7467,state,fb-survey
KY,smoothed_cli,2020-04-09,2020-09-03,147,0.7680569,0.0548878,17295.1263,state,fb-survey
LA,smoothed_cli,2020-04-09,2020-09-03,147,0.9385238,0.0679377,14414.3621,state,fb-survey
MA,smoothed_cli,2020-04-09,2020-09-03,147,0.6594373,0.0464463,22412.0575,state,fb-survey
MD,smoothed_cli,2020-04-09,2020-09-03,147,0.5890946,0.0468169,19198.9432,state,fb-survey
ME,smoothed_cli,2020-04-09,2020-09-03,147,0.9529753,0.1126243,5569.4468,state,fb-survey
MI,smoothed_cli,2020-04-09,2020-09-03,147,0.9046658,0.0480123,29048.0614,state,fb-survey
MN,smoothed_cli,2020-04-09,2020-09-03,147,0.7659303,0.0545794,18901.37,state,fb-survey
MO,smoothed_cli,2020-04-09,2020-09-03,147,0.765048,0.0498261,22563.7376,state,fb-survey
MS,smoothed_cli,2020-04-09,2020-09-03,147,0.8089793,0.0774906,9402.6631,state,fb-survey
